40
948.936	633.223
886.599	606.313
826.474	580.293
768.834	555.044
713.843	530.839
972.2	572.984
909.544	547.214
849.074	522.269
790.812	498.183
735.748	475.376
995.866	512.713
932.453	488.025
871.637	464.431
813.234	441.574
757.572	419.979
1019.64	451.959
955.776	428.635
894.462	406.437
835.613	384.908
779.835	364.758
1043.8	391.541
979.302	369.331
917.45	348.435
858.096	328.609
802.3	310.263
1067.72	330.533
1002.77	310.104
940.795	290.757
880.969	272.824
824.983	256.155
1091.68	270.134
1026.14	250.928
963.392	233.936
903.589	217.66
847.198	202.539
1115.1	210.281
1049.23	193.099
986.197	177.971
925.99	163.393
869.232	149.419
