40
898.626	651.57
857.215	629.194
818.321	608.576
783.386	589.355
751.094	571.708
912.776	598.182
870.234	578.145
831.317	559.376
795.28	542.07
762.985	526.211
926.873	544.591
883.727	526.478
843.97	509.98
807.777	494.429
774.381	480.399
941.377	490.471
897.207	474.579
857.38	460.002
820.44	446.679
787.12	434.378
955.947	435.764
911.473	422.167
870.862	409.676
834.036	398.441
800.297	388.041
971.314	380.663
926.223	369.513
885.153	359.412
847.718	349.943
814.151	341.593
986.718	325.337
941.089	316.555
899.499	309.038
861.396	301.705
826.918	295.244
1002.75	269.98
956.576	263.748
914.872	258.761
876.078	253.4
840.407	248.495
