40
1107.93	519.777
1058.03	553.623
1007.63	588.314
954.616	623.547
901.367	659.886
1069.36	464.798
1019.66	497.76
968.684	531.227
916.265	565.704
862.794	600.817
1031.53	410.964
981.729	442.972
931.101	475.56
878.526	509.313
825.484	543.467
994.539	358.088
944.97	389.254
894.15	421.176
841.61	454.099
788.722	487.405
958.282	305.914
908.572	336.575
857.758	367.834
805.522	400.185
752.833	432.97
922.781	255.08
873.149	285.296
822.412	316.099
770.328	347.734
718.041	380.108
888.153	205.208
838.506	234.861
788.258	265.812
736.519	297.093
684.538	328.684
854.354	156.815
804.925	186.319
754.723	216.905
703.441	247.697
651.832	278.528
